id	population	species	state	country	sex	longitude	latitude
choya-22-049	choya	Distichlis_palmeri	SON	MX	male	-113.6102033	31.3389783
choya-22-050	choya	Distichlis_palmeri	SON	MX	male	-113.6102033	31.3389783
choya-22-051	choya	Distichlis_palmeri	SON	MX	male	-113.6102033	31.3389783
choya-22-052	choya	Distichlis_palmeri	SON	MX	male	-113.6102033	31.3389783
choya-22-053	choya	Distichlis_palmeri	SON	MX	male	-113.6102033	31.3389783
choya-22-054	choya	Distichlis_palmeri	SON	MX	male	-113.6102033	31.3389783
choya-22-055	choya	Distichlis_palmeri	SON	MX	male	-113.6102033	31.3389783
choya-22-056	choya	Distichlis_palmeri	SON	MX	male	-113.6102033	31.3389783
choya-22-057	choya	Distichlis_palmeri	SON	MX	male	-113.6102033	31.3389783
choya-22-058	choya	Distichlis_palmeri	SON	MX	male	-113.6102033	31.3389783
choya-22-059	choya	Distichlis_palmeri	SON	MX	male	-113.6102033	31.3389783
choya-22-060	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-061	choya	Distichlis_palmeri	SON	MX	male	-113.6102033	31.3389783
choya-22-101	choya	Distichlis_palmeri	SON	MX	unknown	-113.6102033	31.3389783
choya-22-102	choya	Distichlis_palmeri	SON	MX	unknown	-113.6102033	31.3389783
choya-22-103	choya	Distichlis_palmeri	SON	MX	unknown	-113.6102033	31.3389783
choya-22-104	choya	Distichlis_palmeri	SON	MX	unknown	-113.6102033	31.3389783
choya-22-105	choya	Distichlis_palmeri	SON	MX	unknown	-113.6102033	31.3389783
choya-22-106	choya	Distichlis_palmeri	SON	MX	unknown	-113.6102033	31.3389783
choya-22-107	choya	Distichlis_palmeri	SON	MX	unknown	-113.6102033	31.3389783
choya-22-108	choya	Distichlis_palmeri	SON	MX	unknown	-113.6102033	31.3389783
choya-22-109	choya	Distichlis_palmeri	SON	MX	unknown	-113.6102033	31.3389783
choya-22-110	choya	Distichlis_palmeri	SON	MX	unknown	-113.6102033	31.3389783
clara-22-001	clara	Distichlis_palmeri	SON	MX	female	-114.965768	31.955806
clara-22-002	clara	Distichlis_palmeri	SON	MX	female	-114.965768	31.955806
clara-22-003	clara	Distichlis_palmeri	SON	MX	female	-114.965768	31.955806
clara-22-004	clara	Distichlis_palmeri	SON	MX	female	-114.965768	31.955806
clara-22-005	clara	Distichlis_palmeri	SON	MX	female	-114.965768	31.955806
clara-22-006	clara	Distichlis_palmeri	SON	MX	female	-114.965768	31.955806
clara-22-007	clara	Distichlis_palmeri	SON	MX	female	-114.965768	31.955806
clara-22-008	clara	Distichlis_palmeri	SON	MX	female	-114.965768	31.955806
clara-22-009	clara	Distichlis_palmeri	SON	MX	female	-114.965768	31.955806
clara-22-010	clara	Distichlis_palmeri	SON	MX	female	-114.965768	31.955806
clara-22-011	clara	Distichlis_palmeri	SON	MX	female	-114.965768	31.955806
clara-22-012	clara	Distichlis_palmeri	SON	MX	female	-114.965768	31.955806
clara-22-013	clara	Distichlis_palmeri	SON	MX	female	-114.965768	31.955806
clara-22-014	clara	Distichlis_palmeri	SON	MX	female	-114.965768	31.955806
clara-22-015	clara	Distichlis_palmeri	SON	MX	female	-114.965768	31.955806
clara-22-016	clara	Distichlis_palmeri	SON	MX	male	-114.965768	31.955806
clara-22-017	clara	Distichlis_palmeri	SON	MX	male	-114.965768	31.955806
clara-22-018	clara	Distichlis_palmeri	SON	MX	male	-114.965768	31.955806
clara-22-019	clara	Distichlis_palmeri	SON	MX	male	-114.965768	31.955806
clara-22-020	clara	Distichlis_palmeri	SON	MX	male	-114.965768	31.955806
clara-22-021	clara	Distichlis_palmeri	SON	MX	male	-114.965768	31.955806
clara-22-022	clara	Distichlis_palmeri	SON	MX	male	-114.965768	31.955806
clara-22-023	clara	Distichlis_palmeri	SON	MX	male	-114.965768	31.955806
clara-22-024	clara	Distichlis_palmeri	SON	MX	male	-114.965768	31.955806
clara-22-025	clara	Distichlis_palmeri	SON	MX	male	-114.965768	31.955806
clara-22-026	clara	Distichlis_palmeri	SON	MX	male	-114.965768	31.955806
clara-22-027	clara	Distichlis_palmeri	SON	MX	male	-114.965768	31.955806
clara-22-028	clara	Distichlis_palmeri	SON	MX	male	-114.965768	31.955806
clara-22-029	clara	Distichlis_palmeri	SON	MX	male	-114.965768	31.955806
clara-22-030	clara	Distichlis_palmeri	SON	MX	male	-114.965768	31.955806
felipe1-22-001	felipe1	Distichlis_palmeri	BCA	MX	female	-114.89439	31.190132
felipe1-22-002	felipe1	Distichlis_palmeri	BCA	MX	female	-114.89439	31.190132
felipe1-22-003	felipe1	Distichlis_palmeri	BCA	MX	female	-114.89439	31.190132
felipe1-22-004	felipe1	Distichlis_palmeri	BCA	MX	female	-114.89439	31.190132
felipe1-22-005	felipe1	Distichlis_palmeri	BCA	MX	female	-114.89439	31.190132
felipe1-22-006	felipe1	Distichlis_palmeri	BCA	MX	female	-114.89439	31.190132
felipe1-22-007	felipe1	Distichlis_palmeri	BCA	MX	female	-114.89439	31.190132
felipe1-22-008	felipe1	Distichlis_palmeri	BCA	MX	female	-114.89439	31.190132
felipe1-22-009	felipe1	Distichlis_palmeri	BCA	MX	female	-114.89439	31.190132
felipe1-22-010	felipe1	Distichlis_palmeri	BCA	MX	female	-114.89439	31.190132
felipe1-22-011	felipe1	Distichlis_palmeri	BCA	MX	female	-114.89439	31.190132
felipe1-22-012	felipe1	Distichlis_palmeri	BCA	MX	female	-114.89439	31.190132
felipe1-22-013	felipe1	Distichlis_palmeri	BCA	MX	female	-114.89439	31.190132
felipe1-22-014	felipe1	Distichlis_palmeri	BCA	MX	female	-114.89439	31.190132
felipe1-22-015	felipe1	Distichlis_palmeri	BCA	MX	female	-114.89439	31.190132
felipe1-22-016	felipe1	Distichlis_palmeri	BCA	MX	female	-114.89439	31.190132
felipe1-22-017	felipe1	Distichlis_palmeri	BCA	MX	female	-114.89439	31.190132
felipe1-22-018	felipe1	Distichlis_palmeri	BCA	MX	male	-114.89439	31.190132
felipe1-22-019	felipe1	Distichlis_palmeri	BCA	MX	female	-114.89439	31.190132
felipe1-22-020	felipe1	Distichlis_palmeri	BCA	MX	male	-114.89439	31.190132
felipe1-22-021	felipe1	Distichlis_palmeri	BCA	MX	male	-114.89439	31.190132
felipe1-22-022	felipe1	Distichlis_palmeri	BCA	MX	female	-114.89439	31.190132
felipe1-22-023	felipe1	Distichlis_palmeri	BCA	MX	female	-114.89439	31.190132
felipe1-22-024	felipe1	Distichlis_palmeri	BCA	MX	male	-114.89439	31.190132
felipe1-22-025	felipe1	Distichlis_palmeri	BCA	MX	male	-114.89439	31.190132
felipe1-22-026	felipe1	Distichlis_palmeri	BCA	MX	male	-114.89439	31.190132
felipe1-22-027	felipe1	Distichlis_palmeri	BCA	MX	male	-114.89439	31.190132
felipe1-22-028	felipe1	Distichlis_palmeri	BCA	MX	male	-114.89439	31.190132
felipe1-22-029	felipe1	Distichlis_palmeri	BCA	MX	male	-114.89439	31.190132
felipe1-22-030	felipe1	Distichlis_palmeri	BCA	MX	male	-114.89439	31.190132
felipe1-22-031	felipe1	Distichlis_palmeri	BCA	MX	male	-114.89439	31.190132
felipe1-22-032	felipe1	Distichlis_palmeri	BCA	MX	male	-114.89439	31.190132
felipe1-22-033	felipe1	Distichlis_palmeri	BCA	MX	male	-114.89439	31.190132
felipe1-22-034	felipe1	Distichlis_palmeri	BCA	MX	male	-114.89439	31.190132
felipe1-22-035	felipe1	Distichlis_palmeri	BCA	MX	male	-114.89439	31.190132
felipe1-22-036	felipe1	Distichlis_palmeri	BCA	MX	male	-114.89439	31.190132
felipe1-22-037	felipe1	Distichlis_palmeri	BCA	MX	male	-114.89439	31.190132
felipe1-22-038	felipe1	Distichlis_palmeri	BCA	MX	male	-114.89439	31.190132
felipe1-22-039	felipe1	Distichlis_palmeri	BCA	MX	male	-114.89439	31.190132
felipe2-22-001	felipe2	Distichlis_palmeri	BCA	MX	male	-114.8206499	30.9830833
felipe2-22-002	felipe2	Distichlis_palmeri	BCA	MX	male	-114.8206499	30.9830833
felipe2-22-003	felipe2	Distichlis_palmeri	BCA	MX	male	-114.8206499	30.9830833
felipe2-22-004	felipe2	Distichlis_palmeri	BCA	MX	male	-114.8206499	30.9830833
felipe2-22-005	felipe2	Distichlis_palmeri	BCA	MX	male	-114.8206499	30.9830833
felipe2-22-006	felipe2	Distichlis_palmeri	BCA	MX	female	-114.8206499	30.9830833
felipe2-22-007	felipe2	Distichlis_palmeri	BCA	MX	female	-114.8206499	30.9830833
felipe2-22-008	felipe2	Distichlis_palmeri	BCA	MX	female	-114.8206499	30.9830833
felipe2-22-009	felipe2	Distichlis_palmeri	BCA	MX	female	-114.8206499	30.9830833
felipe2-22-010	felipe2	Distichlis_palmeri	BCA	MX	female	-114.8206499	30.9830833
felipe2-22-011	felipe2	Distichlis_palmeri	BCA	MX	female	-114.8206499	30.9830833
felipe2-22-012	felipe2	Distichlis_palmeri	BCA	MX	female	-114.8206499	30.9830833
felipe2-22-013	felipe2	Distichlis_palmeri	BCA	MX	female	-114.8206499	30.9830833
felipe2-22-014	felipe2	Distichlis_palmeri	BCA	MX	female	-114.8206499	30.9830833
felipe2-22-015	felipe2	Distichlis_palmeri	BCA	MX	female	-114.8206499	30.9830833
felipe2-22-016	felipe2	Distichlis_palmeri	BCA	MX	female	-114.8206499	30.9830833
felipe2-22-017	felipe2	Distichlis_palmeri	BCA	MX	female	-114.8206499	30.9830833
felipe2-22-018	felipe2	Distichlis_palmeri	BCA	MX	female	-114.8206499	30.9830833
felipe2-22-019	felipe2	Distichlis_palmeri	BCA	MX	female	-114.8206499	30.9830833
felipe2-22-020	felipe2	Distichlis_palmeri	BCA	MX	female	-114.8206499	30.9830833
felipe2-22-021	felipe2	Distichlis_palmeri	BCA	MX	female	-114.8206499	30.9830833
felipe2-22-022	felipe2	Distichlis_palmeri	BCA	MX	female	-114.8206499	30.9830833
felipe2-22-023	felipe2	Distichlis_palmeri	BCA	MX	female	-114.8206499	30.9830833
felipe2-22-024	felipe2	Distichlis_palmeri	BCA	MX	female	-114.8206499	30.9830833
felipe2-22-025	felipe2	Distichlis_palmeri	BCA	MX	female	-114.8206499	30.9830833
felipe2-22-026	felipe2	Distichlis_palmeri	BCA	MX	male	-114.8206499	30.9830833
felipe2-22-027	felipe2	Distichlis_palmeri	BCA	MX	male	-114.8206499	30.9830833
felipe2-22-028	felipe2	Distichlis_palmeri	BCA	MX	male	-114.8206499	30.9830833
felipe2-22-029	felipe2	Distichlis_palmeri	BCA	MX	male	-114.8206499	30.9830833
felipe2-22-030	felipe2	Distichlis_palmeri	BCA	MX	male	-114.8206499	30.9830833
felipe2-22-031	felipe2	Distichlis_palmeri	BCA	MX	male	-114.8206499	30.9830833
felipe2-22-032	felipe2	Distichlis_palmeri	BCA	MX	male	-114.8206499	30.9830833
